Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_1_3.golog,0.088,0,0,0.002,0,0.001,0.091,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_1_3.golog,0.073,0,0,0.007,0,0.001,0.081,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_2_3.golog,0.076,0,0,0.002,0,0.001,0.079,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_2_3.golog,0.072,0,0,0.007,0,0,0.079,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_3_3.golog,0.074,0,0,0.001,0,0,0.075,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_3_3.golog,0.074,0,0,0.002,0,0.001,0.077,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_1_4.golog,0.078,0,0.003,0.004,0,0.011,0.096,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_1_4.golog,0.077,0,0.002,0.003,0,0.009,0.091,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_2_4.golog,0.08,0,0.002,0.007,0,0.011,0.1,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld/prog_2_4.golog,0.083,0,0.002,0.005,0,0,0.09,LDLf
