Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.086,0,0.002,0.003,0,0.005,0.096,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.067,0,0.002,0.002,0,0.004,0.075,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.064,0,0.002,0.027,0,0.008,0.101,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.065,0,0.002,0.008,0,0.004,0.079,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.064,0,0.002,0.006,0,0.005,0.077,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.064,0,0.002,0.004,0,0.01,0.08,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.063,0,0.002,0.009,0,0.039,0.113,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.062,0,0.003,0.002,0,0.037,0.104,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.062,0,0.003,0.099,0,0.037,0.201,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.065,0,0.004,0.017,0,0.039,0.125,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.067,0,0.002,0.037,0,0.022,0.128,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.064,0,0.003,0.014,0,0.098,0.179,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.062,0,0.004,0.017,0,0.274,0.357,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.065,0,0.004,0.003,0,0.284,0.356,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.065,0,0.005,0.218,0,0.394,0.682,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.067,0,0.005,0.031,0,0.263,0.366,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.066,0,0.005,0.132,0,0.057,0.26,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.062,0,0.004,0.031,0,0.286,0.383,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_6.golog,0.067,0,0.005,0.037,0,1.833,1.942,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_6.golog,0.073,0,0.006,0.004,0,5.855,5.938,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_6.golog,0.064,0,0.005,0.498,0,2.958,3.525,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_6.golog,0.066,0,0.005,0.038,0,6.972,7.081,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_6.golog,0.066,0,0.006,0.363,0,0.19,0.625,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_6.golog,0.069,0,0.005,0.062,0,2.86,2.996,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p7.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_7.golog,0.066,0,0.009,0.055,0,77.676,77.806,Compositional
