Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.073,0.011,0.003,0.003,0,0.005,0.095,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.071,0,0.003,0.003,0,0.005,0.082,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.073,0,0.002,0.029,0,0.009,0.113,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.069,0,0.002,0.008,0,0.006,0.085,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.068,0,0.002,0.008,0,0.005,0.083,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.07,0,0.002,0.004,0,0.01,0.086,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.07,0,0.003,0.009,0,0.044,0.126,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.069,0,0.003,0.003,0,0.04,0.115,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.068,0,0.003,0.107,0,0.041,0.219,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.072,0,0.003,0.017,0,0.039,0.131,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.07,0,0.003,0.039,0,0.023,0.135,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.069,0,0.003,0.014,0,0.098,0.184,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.069,0,0.005,0.019,0,0.259,0.352,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.068,0,0.005,0.004,0,0.278,0.355,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.066,0,0.005,0.228,0,0.406,0.705,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.065,0,0.005,0.029,0,0.283,0.382,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.073,0,0.005,0.149,0,0.066,0.293,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.071,0,0.006,0.032,0,0.326,0.435,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_6.golog,0.07,0,0.005,0.041,0,2.749,2.865,Compositional
