Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.124,0,0.002,0.004,0,0.007,0.137,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_3.golog,0.078,0,0.002,0.004,0,0.006,0.09,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.077,0,0.002,0.012,0,0.005,0.096,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_3.golog,0.094,0,0.002,0.009,0,0,0.105,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.073,0,0.002,0.004,0,0.002,0.081,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p3.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_3.golog,0.073,0,0.002,0.002,0,0,0.077,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.111,0,0.003,0.01,0,0.049,0.173,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_4.golog,0.082,0,0.003,0.003,0,0.046,0.134,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.076,0,0.003,0.026,0,0.056,0.161,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_4.golog,0.074,0,0.003,0.01,0,0,0.087,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.079,0,0.004,0.016,0,0.009,0.108,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p4.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_4.golog,0.081,0,0.003,0.003,0,0,0.087,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.078,0,0.006,0.022,0,0.39,0.496,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_5.golog,0.088,0,0.005,0.004,0,0.323,0.42,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.076,0,0.005,0.069,0,0.397,0.547,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_5.golog,0.075,0,0.005,0.013,0,0,0.093,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.086,0,0.005,0.031,0,0.01,0.132,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p5.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_3_5.golog,0.08,0,0.005,0.005,0,0,0.09,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_6.golog,0.08,0,0.006,0.046,0,2.48,2.612,Compositional
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_1_6.golog,0.081,0,0.007,0.006,0,7.704,7.798,LDLf
/home/matteo/syft4golog/benchmarks/blocksworld_drop/domain.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/p6.pddl,/home/matteo/syft4golog/benchmarks/blocksworld_drop/prog_2_6.golog,0.081,0,0.007,0.139,0,0.574,0.801,Compositional
