Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_1_1_1.golog,0.116,0,0,0,0,0,0.116,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_1_1_1.golog,0.077,0,0,0.003,0,0,0.08,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_2_1_1.golog,0.077,0,0,0,0,0,0.077,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_2_1_1.golog,0.089,0,0,0.002,0,0,0.091,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_3_1_1.golog,0.08,0,0,0,0,0,0.08,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_3_1_1.golog,0.081,0,0,0.001,0,0,0.082,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_1_1_2.golog,0.077,0,0,0.003,0,0,0.08,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_1_1_2.golog,0.07,0,0,0.003,0,0,0.073,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_2_1_2.golog,0.09,0,0,0.004,0,0.001,0.095,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher/domain_r1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/p1_2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher/prog_2_1_2.golog,0.077,0,0,0.003,0,0.001,0.081,LDLf
