Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_1_r1_d1.golog,0.095,0,0.001,0.003,0,0.001,0.1,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_1_r1_d1.golog,0.086,0,0,0.004,0,0,0.09,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_2_r1_d1.golog,0.081,0,0,0.003,0,0,0.084,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_2_r1_d1.golog,0.077,0,0,0.018,0,0,0.095,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_3_r1_d1.golog,0.075,0,0,0.002,0,0,0.077,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d1.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_3_r1_d1.golog,0.074,0,0,0.003,0,0.001,0.078,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_1_r1_d2.golog,0.075,0,0,0.011,0,0.023,0.109,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_1_r1_d2.golog,0.079,0,0.001,0.004,0,0.023,0.107,LDLf
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_2_r1_d2.golog,0.086,0,0.002,0.018,0,0.009,0.115,Compositional
/home/matteo/syft4golog/benchmarks/dishwasher_final/domain.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/p_r1_d2.pddl,/home/matteo/syft4golog/benchmarks/dishwasher_final/prog_2_r1_d2.golog,0.079,0,0.001,0.011,0,0.022,0.113,LDLf
