Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_1_2.golog,0.11,0,0,0.007,0,0.001,0.118,Compositional
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_1_2.golog,0.083,0,0,0.004,0,0.001,0.088,LDLf
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_2_2.golog,0.092,0,0,0.316,0,0.001,0.409,Compositional
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_2_2.golog,0.078,0,0,0.066,0,0.002,0.146,LDLf
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_3_2.golog,0.075,0,0,0.086,0,0.004,0.165,Compositional
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_3_2.golog,0.072,0,0,0.01,0,0.009,0.091,LDLf
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_1_2.golog,0.107,0,0,0.007,0,0.001,0.115,Compositional
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_1_2.golog,0.081,0,0,0.003,0,0.001,0.085,LDLf
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_2_2.golog,0.079,0,0,0.316,0,0.001,0.396,Compositional
/home/matteo/syft4golog/benchmarks/robot_coffee_line/domain.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/p2.pddl,/home/matteo/syft4golog/benchmarks/robot_coffee_line/prog_2_2.golog,0.075,0,0,0.067,0,0.002,0.144,LDLf
