Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_3.golog,0.094,0,0,0.009,0,0,0.103,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_3.golog,0.071,0,0,0.003,0,0,0.074,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_3.golog,0.072,0,0,0.107,0,0,0.179,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_3.golog,0.066,0,0,0.015,0,0,0.081,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_3.golog,0.067,0,0,0.004,0,0,0.071,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_3.golog,0.068,0,0,0.002,0,0,0.07,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_4.golog,0.07,0,0,0.023,0,0,0.093,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_4.golog,0.07,0,0,0.004,0,0,0.074,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_4.golog,0.065,0,0,0.307,0,0,0.372,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_4.golog,0.069,0,0,0.039,0,0.001,0.109,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_4.golog,0.08,0,0,0.014,0,0,0.094,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_4.golog,0.071,0,0,0.004,0,0.001,0.076,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_5.golog,0.07,0,0,0.048,0,0.001,0.119,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_5.golog,0.069,0,0,0.004,0,0.001,0.074,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_5.golog,0.072,0,0,0.613,0,0.001,0.686,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_2_5.golog,0.066,0,0,0.049,0,0.001,0.116,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_5.golog,0.069,0,0,0.037,0,0,0.106,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_3_5.golog,0.066,0,0,0.006,0,0.001,0.073,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_6.golog,0.067,0,0,0.085,0,0.001,0.153,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_carry/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_carry/prog_1_6.golog,0.067,0,0,0.006,0,0.002,0.075,LDLf
