Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_3.golog,0.099,0,0.001,0.004,0,0,0.104,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_3.golog,0.088,0,0,0.003,0,0,0.091,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_3.golog,0.087,0,0,0.028,0,0,0.115,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_3.golog,0.078,0,0,0.017,0,0,0.095,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_3.golog,0.075,0,0,0.001,0,0,0.076,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p3.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_3.golog,0.077,0,0,0.002,0,0,0.079,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_4.golog,0.08,0,0,0.01,0,0.001,0.091,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_4.golog,0.079,0,0,0.002,0,0.001,0.082,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_4.golog,0.075,0,0,0.101,0,0.001,0.177,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_4.golog,0.087,0,0,0.053,0,0.001,0.141,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_4.golog,0.074,0,0,0.008,0,0.001,0.083,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p4.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_4.golog,0.073,0,0,0.003,0,0.003,0.079,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_5.golog,0.084,0,0,0.023,0,0.006,0.113,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_5.golog,0.077,0,0,0.003,0,0.004,0.084,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_5.golog,0.075,0,0,0.266,0,0.004,0.345,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_5.golog,0.074,0,0.001,0.102,0,0.003,0.18,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_5.golog,0.075,0,0,0.03,0,0.005,0.11,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p5.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_5.golog,0.075,0,0,0.004,0,0.01,0.089,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_6.golog,0.073,0,0.003,0.036,0,0.01,0.122,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_6.golog,0.076,0,0.003,0.004,0,0.01,0.093,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_6.golog,0.075,0,0.003,0.647,0,0.02,0.745,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_2_6.golog,0.097,0,0.002,0.213,0,0.018,0.33,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_6.golog,0.079,0,0.002,0.082,0,0.005,0.168,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p6.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_3_6.golog,0.083,0,0.003,0.008,0,0.019,0.113,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p7.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_7.golog,0.077,0,0.002,0.06,0,0.009,0.148,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_line/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/p7.pddl,/home/matteo/syft4golog/benchmarks/tireworld_line/prog_1_7.golog,0.079,0,0.002,0.005,0,0.031,0.117,LDLf
