Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_10.golog,0.084,0,0.004,0.065,0,0.076,0.229,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_10.golog,0.072,0,0.005,0.005,0,0.11,0.192,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_10.golog,0.074,0.001,0.004,1.579,0,0.068,1.726,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_10.golog,0.073,0,0.004,0.339,0,0.116,0.532,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_10.golog,0.073,0.011,0.004,0.142,0,0.01,0.24,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_10.golog,0.079,0,0.005,0.009,0,0.033,0.126,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_11.golog,0.083,0,0.008,0.085,0,0.251,0.427,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_11.golog,0.074,0,0.007,0.006,0,0.168,0.255,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_11.golog,0.07,0.011,0.007,2.431,0,0.122,2.641,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_11.golog,0.071,0,0.009,0.489,0,0.176,0.745,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_11.golog,0.073,0.001,0.009,0.223,0,0.011,0.317,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_11.golog,0.081,0,0.009,0.01,0,0.038,0.138,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_12.golog,0.073,0,0.007,0.108,0,0.127,0.315,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_12.golog,0.078,0,0.009,0.006,0,0.216,0.309,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_12.golog,0.077,0.011,0.008,3.563,0,0.178,3.837,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_12.golog,0.077,0,0.008,0.649,0,0.221,0.955,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_12.golog,0.078,0.011,0.008,0.326,0,0.02,0.443,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_12.golog,0.075,0,0.007,0.011,0,0.053,0.146,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_13.golog,0.086,0,0.009,0.146,0,0.333,0.574,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_13.golog,0.077,0,0.008,0.007,0,0.477,0.569,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_13.golog,0.076,0.011,0.009,4.844,0,0.27,5.21,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_13.golog,0.074,0,0.009,0.757,0,0.46,1.3,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_13.golog,0.078,0,0.011,0.497,0,0.022,0.608,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_13.golog,0.078,0,0.008,0.013,0,0.048,0.147,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_14.golog,0.08,0,0.009,0.181,0,0.432,0.702,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_14.golog,0.074,0,0.009,0.007,0,0.551,0.641,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_14.golog,0.075,0.011,0.01,7.458,0,0.633,8.187,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_14.golog,0.077,0,0.009,0.955,0,0.58,1.621,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_14.golog,0.074,0.011,0.009,0.672,0,0.024,0.79,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_14.golog,0.075,0,0.01,0.015,0,0.077,0.177,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_15.golog,0.087,0,0.012,0.221,0,0.494,0.814,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_1_15.golog,0.075,0,0.012,0.008,0,1.083,1.178,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_15.golog,0.082,0.012,0.012,9.48,0,0.798,10.384,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_2_15.golog,0.081,0,0.012,1.287,0,1.122,2.502,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_15.golog,0.082,0.001,0.015,0.969,0,0.026,1.093,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified/domain.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified/prog_3_15.golog,0.079,0,0.011,0.017,0,0.053,0.16,LDLf
