Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2.golog,0.083,0,0.003,0.014,0,0.014,0.114,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_2.golog,0.066,0,0.003,0.005,0,0.015,0.089,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2.golog,0.069,0.001,0.003,0.008,0,0.007,0.088,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_2.golog,0.064,0,0.003,0.003,0,0.014,0.084,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2.golog,0.064,0.001,0.003,0.005,0,0.003,0.076,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_2.golog,0.066,0,0.003,0.003,0,0.003,0.075,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3.golog,0.067,0,0.006,0.054,0,0.073,0.2,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_3.golog,0.07,0,0.006,0.005,0,0.08,0.161,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3.golog,0.064,0,0.006,0.021,0,0.021,0.112,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_2_3.golog,0.066,0,0.006,0.01,0,0.132,0.214,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3.golog,0.065,0,0.006,0.02,0,0.015,0.106,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_3_3.golog,0.067,0,0.006,0.006,0,0.02,0.099,LDLf
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4.golog,0.069,0,0.018,0.125,0,0.508,0.72,Compositional
/home/matteo/syft4golog/benchmarks/warehouse/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse/prog_1_4.golog,0.07,0,0.018,0.009,0,0.679,0.776,LDLf
