Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_2_2.golog,0.077,0,0.003,0.017,0,0.024,0.121,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_2_2.golog,0.078,0,0.003,0.004,0,0.021,0.106,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_2_2.golog,0.071,0,0.002,0.015,0,0.012,0.1,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_2_2.golog,0.076,0,0.003,0.011,0,0.025,0.115,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_2_2.golog,0.073,0,0.002,0.01,0,0.012,0.097,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2_2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_2_2.golog,0.071,0,0.002,0.005,0,0.013,0.091,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_3_3.golog,0.076,0,0.009,0.057,0,0.24,0.382,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_3_3.golog,0.083,0,0.01,0.007,0,0.151,0.251,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_3_3.golog,0.075,0,0.011,0.035,0,0.04,0.161,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_3_3.golog,0.075,0,0.009,0.024,0,0,0.108,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_3_3.golog,0.072,0,0.011,0.028,0,0.034,0.145,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3_3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_3_3.golog,0.075,0,0.01,0.01,0,0.057,0.152,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_4_4.golog,0.078,0,0.024,0.137,0,2.007,2.246,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4_4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_4_4.golog,0.088,0,0.023,0.009,0,1.855,1.975,LDLf
