Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_2.golog,0.087,0,0.004,0.016,0,0.019,0.126,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_2.golog,0.07,0,0.002,0.018,0,0.02,0.11,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_2.golog,0.07,0,0.002,0.014,0,0.012,0.098,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_2.golog,0.069,0,0.003,0.015,0,0.024,0.111,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_2.golog,0.074,0,0.002,0.009,0,0.011,0.096,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p2.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_2.golog,0.071,0,0.003,0.005,0,0.011,0.09,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_3.golog,0.072,0,0.01,0.056,0,0.215,0.353,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_3.golog,0.07,0,0.011,0.016,0,0.162,0.259,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_3.golog,0.075,0.001,0.01,0.034,0,0.038,0.158,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_3.golog,0.075,0,0.01,0.023,0,0,0.108,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_3.golog,0.072,0,0.01,0.029,0,0.033,0.144,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p3.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_3.golog,0.073,0,0.01,0.01,0,0.05,0.143,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_4.golog,0.081,0.001,0.024,0.132,0,1.755,1.993,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_4.golog,0.077,0,0.025,0.008,0,1.665,1.775,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_4.golog,0.075,0,0.024,0.058,0,0.174,0.331,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_4.golog,0.075,0,0.023,0.047,0,1.94,2.085,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_4.golog,0.08,0,0.024,0.062,0,0.057,0.223,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p4.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_4.golog,0.073,0,0.024,0.016,0,0.242,0.355,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_5.golog,0.084,0,0.034,0.255,0,11.378,11.751,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_5.golog,0.08,0,0.034,0.014,0,10.392,10.52,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_5.golog,0.082,0.001,0.035,0.1,0,0.343,0.561,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_5.golog,0.082,0,0.034,0.096,0,7.907,8.119,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_5.golog,0.077,0.001,0.033,0.114,0,0.161,0.386,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p5.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_5.golog,0.079,0,0.035,0.029,0,0.582,0.725,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_6.golog,0.082,0,0.083,0.466,0,11.9,12.531,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_6.golog,0.083,0,0.086,0.034,0,215.587,215.79,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_6.golog,0.096,0.001,0.085,0.15,0,0.786,1.118,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_6.golog,0.085,0,0.087,0.136,0,346.626,346.934,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_6.golog,0.096,0,0.095,0.234,0,0.353,0.778,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p6.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_3_6.golog,0.096,0,0.092,0.045,0,3.354,3.587,LDLf
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_1_7.golog,0.103,0.001,0.158,0.885,0,250.831,251.978,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_7.golog,0.085,0,0.141,0.2,0,1.418,1.844,Compositional
/home/matteo/syft4golog/benchmarks/warehouse_repair/domain.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/p7.pddl,/home/matteo/syft4golog/benchmarks/warehouse_repair/prog_2_7.golog,0.078,0,0.151,0.223,0,0,0.452,LDLf
