Domain File,Init File,Program File,Parse Domain (s),Parse Golog(s),Domain2DFA (s),Golog2TS (s),Game Construction (s),Game Resolution (s),Total (s),Algorithm
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_10.golog,0.092,0,0.007,0.234,0,0.122,0.455,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_10.golog,0.076,0,0.005,0.01,0,0.106,0.197,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_10.golog,0.072,0,0.005,5.243,0,0.152,5.472,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_10.golog,0.08,0,0.004,1.347,0,0.1,1.531,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_10.golog,0.071,0,0.004,0.165,0,0.008,0.248,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p10.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_10.golog,0.074,0,0.004,0.009,0,0.021,0.108,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_11.golog,0.075,0,0.004,0.298,0,0.194,0.571,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_11.golog,0.074,0,0.004,0.011,0,0.444,0.533,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_11.golog,0.086,0,0.005,9.991,0,0.303,10.385,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_11.golog,0.075,0,0.005,1.989,0,0.407,2.476,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_11.golog,0.075,0,0.005,0.256,0,0.015,0.351,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p11.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_11.golog,0.077,0,0.005,0.012,0,0.032,0.126,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_12.golog,0.077,0,0.008,0.42,0,0.499,1.004,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_12.golog,0.075,0,0.009,0.013,0,0.986,1.083,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_12.golog,0.078,0,0.007,15.827,0,0.897,16.809,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_12.golog,0.077,0,0.007,3.078,0,0.996,4.158,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_12.golog,0.075,0,0.007,0.359,0,0.018,0.459,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p12.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_12.golog,0.076,0,0.007,0.014,0,0.051,0.148,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_13.golog,0.08,0,0.009,0.577,0,1.707,2.373,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_13.golog,0.074,0,0.01,0.014,0,2.257,2.355,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_13.golog,0.075,0,0.009,21.484,0,3.1,24.668,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_13.golog,0.077,0,0.01,4.212,0,2.285,6.584,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_13.golog,0.073,0,0.009,0.526,0,0.015,0.623,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p13.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_13.golog,0.077,0,0.01,0.017,0,0.043,0.147,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_14.golog,0.079,0,0.008,0.758,0,3.455,4.3,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_14.golog,0.083,0,0.008,0.018,0,2.989,3.098,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_14.golog,0.079,0,0.009,28.986,0,16.622,45.696,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_14.golog,0.081,0,0.008,5.758,0,2.896,8.743,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_14.golog,0.08,0,0.008,0.774,0,0.028,0.89,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p14.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_14.golog,0.078,0,0.008,0.02,0,0.096,0.202,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_15.golog,0.08,0,0.01,1.039,0,4.493,5.622,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_1_15.golog,0.078,0,0.01,0.02,0,12.246,12.354,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_15.golog,0.079,0,0.01,36.157,0,10.81,47.056,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_2_15.golog,0.107,0.001,0.012,7.708,0,12.354,20.182,LDLf
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_15.golog,0.07,0,0.009,0.939,0,0.029,1.047,Compositional
/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/domain_n15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/p15.pddl,/home/matteo/syft4golog/benchmarks/tireworld_simplified_ground/prog_3_15.golog,0.072,0,0.01,0.018,0,0.046,0.146,LDLf
